time,open,high,low,close,T3
1725546300,553.46,553.7995,552.76,552.97,NaN
1725546600,552.97,553.55,552.6801,553.02,NaN
1725546900,553.015,553.11,552.695,552.83,NaN
1725547200,552.82,552.87,552.0701,552.15,NaN
1725547500,552.14,552.18,550.8,550.91,NaN
1725547800,550.86,550.9389,550.44,550.81,NaN
1725548100,550.8,551.07,550.33,550.3899,NaN
1725548400,550.38,550.54,549.23,549.9404,550.9896214294249
1725548700,549.96,550.48,549.85,550.31,551.041434103136
1725549000,550.33,550.48,548.98,549.23,551.0857345427612
1725549300,549.26,549.75,549.03,549.31,551.1210755877519
1725549600,549.31,549.53,548.47,548.81,551.1459401981433
1725549900,548.77,548.84,547.82,547.9186,551.1583291994939
1725550200,547.92,548.18,547.4,547.75,551.1568196687813
1725550500,547.76,548.54,547.71,548.09,551.1410910042464
1725550800,548.08,548.35,547.7195,547.88,551.1110075654728
1725551100,547.88,548.39,547.78,548.0204,551.0670174147631
1725551400,548.02,548.32,547.66,547.75,551.0095125568605
1725551700,547.74,547.9989,547.36,547.49,550.938859468803
1725552000,547.48,548.3499,547.4,548.02,550.8563712272739
1725552300,548.01,548.51,547.89,548.32,550.7637761019873
1725552600,548.33,548.33,547.37,547.64,550.6618918253153
1725552900,547.65,547.88,547.1,547.64,550.5516659674404
1725553200,547.61,548.3,547.53,548.25,550.4348723352414
1725553500,548.245,548.62,548.2,548.5595,550.3135070332792
1725553800,548.55,548.6,548.23,548.48,550.1892173494261
1725554100,548.47,548.65,548.31,548.375,550.06331969135
1725554400,548.39,548.94,548.39,548.78,549.937471536889
1725554700,548.77,548.79,548.42,548.51,549.8127268320468
1725555000,548.51,548.6696,548.28,548.4599,549.6899253209876
1725555300,548.45,549.3,548.4,548.71,549.5700886097684
1725555600,548.72,548.96,548.48,548.5908,549.453899042539
1725555900,548.58,548.58,548,548.35,549.3416151422543
1725556200,548.34,548.72,548.3106,548.46,549.2335926390756
1725556500,548.45,548.54,547.78,548.51,549.1301752440017
1725556800,548.5,548.56,548.24,548.56,549.031685092601
1725557100,548.505,548.56,547.75,547.8199,548.9374541790803
1725557400,547.73,548.3,547.73,548.28,548.8475397088273
1725557700,548.3,549.15,548.3,548.811,548.7626274264326
1725558000,548.81,549.845,548.76,549.78,548.6843893714563
1725558300,549.75,550.61,549.7101,550.36,548.614721963057
1725558600,550.34,550.47,550.02,550.0899,548.5546021265159
1725558900,550.075,550.7,550.07,550.68,548.5053261508692
1725559200,550.69,550.93,550.23,550.49,548.4674399329501
1725559500,550.48,550.76,550.3601,550.4921,548.4411318843795
1725559800,550.5,550.72,550.21,550.26,548.4260192671991
1725560100,550.2799,550.77,550.1406,550.55,548.421921401175
1725560400,550.545,550.71,550.22,550.2599,548.4280974274943
1725560700,550.25,550.278,549.85,550,548.4434276885463
1725561000,549.99,550.53,549.9699,550.28,548.4671812254214
1725561300,550.2895,550.63,550.1465,550.37,548.4986983321919
1725561600,550.38,550.5,550.1,550.32,548.5372105663237
1725561900,550.34,550.72,550.31,550.675,548.5823714324888
1725562200,550.67,551.18,550.44,550.59,548.6336188673231
1725562500,550.59,550.67,550.12,550.17,548.6898273684628
1725562800,550.15,550.17,549.69,550.0299,548.7498083811224
1725563100,550.05,550.12,549.71,549.86,548.8123139680656
1725563400,549.85,549.855,549.43,549.47,548.8758106694495
1725563700,549.5,549.55,548.14,548.6401,548.9380497077964
1725564000,548.64,548.95,548.41,548.92,548.9976479527204
1725564300,548.9,549.44,548.82,549.2801,549.0540091805965
1725564600,549.31,550.26,549.25,550.2,549.1078297770969
1725564900,550.2,550.2,549.34,549.39,549.1586621216888
1725565200,549.39,549.39,548.35,548.5905,549.2052208327232
1725565500,548.6,549.07,548.27,548.91,549.24698467074
1725565800,548.92,549.16,548.04,548.72,549.2834064052649
1725566100,548.71,549.57,548.45,549.57,549.3152030307942
1725629400,549.93,551.134,549.84,551.08,549.3448362539148
1725629700,551.1,551.6,549.15,549.23,549.3719384214869
1725630000,549.26,550.38,548.46,549.94,549.3971318803833
1725630300,549.9226,550.65,549.53,549.68,549.4205926764926
1725630600,549.665,549.77,548.31,548.35,549.440854932267
1725630900,548.39,548.96,547.83,547.8901,549.4563103333912
1725631200,547.89,548.26,547.41,547.66,549.4655663275094
1725631500,547.67,548.09,547.03,547.48,549.4674941095268
1725631800,547.44,547.88,546.56,547.1244,549.4609849528752
1725632100,547.17,547.37,546.33,546.99,549.4452497548332
1725632400,547.04,547.23,545.68,545.77,549.4184480073218
